Depth,POINTID,pH_CaCl2,pH_H2O,EC,OC,CaCO3,P,N,K,OC (20-30 cm),CaCO3 (20-30 cm),Ox_Al,Ox_Fe,NUTS_0,NUTS_1,NUTS_2,NUTS_3,TH_LAT,TH_LONG,SURVEY_DATE,Elev,LC,LU,LC0_Desc,LC1_Desc,LU1_Desc,target,predict
0-20 cm,42843218,3.8,4.37,7.16,23.6,,16.0,1.6,50.0,,,,,DE,DE9,DE92,DE923,52.07066744,9.460399141,24-07-18,151,C10,U120,Woodland,Broadleaved woodland,Forestry,2.50441315625992,3.0705787417972266
0-20 cm,43023370,6.1,6.61,11.06,12.8,1.0,50.3,1.2,172.0,,,,,DE,DE9,DE93,DE939,53.43752308,9.71412843,22-05-18,36,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens),4.88161625673651,4.494951998370113
0-20 cm,41383284,4.2,4.72,4.94,14.7,,16.9,0.8,15.1,,,,,DE,DE9,DE94,DE949,52.63446537,7.296365611,25-06-18,8,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry,1.54985175286496,1.9190568115351816
0-20 cm,41883154,3.7,4.18,8.87,31.6,,15.0,2.3,48.2,,,,,DE,DEA,DEA5,DEA5B,51.481013,8.085234529,23-07-18,226,C10,U361,Woodland,Broadleaved woodland,"Amenities, museum, leisure (e.g. parks, botanical gardens)",3.73581293618157,3.6960111832509424
0-20 cm,41642978,6.6,6.91,17.6,12.9,,61.5,1.5,394.8,,,0.7,2.8,DE,DEB,DEB1,DEB14,49.89347668,7.814925742,25-05-18,215,B82,U111,Cropland,Vineyards,Agriculture (excluding fallow land and kitchen gardens),3.61089258705607,3.7744878097698225
0-20 cm,44483636,7.1,7.69,18.53,8.7,5.0,88.2,1.1,275.9,,,,,DK,DK0,DK01,DK013,55.81217144,12.02472266,31-05-18,7,B37,U111,Cropland,Other non-permanent industrial crops,Agriculture (excluding fallow land and kitchen gardens),4.07984539380577,3.9582753638611945
0-20 cm,42863582,6.2,6.62,16.06,31.9,,32.2,2.3,113.1,,,,,DK,DK0,DK03,DK032,55.34173183,9.448639891,03-06-18,21,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens),3.77426017235414,3.7291001136704667
0-20 cm,43623698,5.7,6.26,9.95,13.9,,41.7,1.4,79.3,,,,,DK,DK0,DK04,DK042,56.38376611,10.66318953,20-05-18,-2,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens),3.53688985526286,3.9275566990924733
0-20 cm,52324108,7.2,7.38,15.13,17.4,14.0,15.1,1.8,99.0,,,,,EE,EE0,EE00,EE006,59.14237923,26.04236773,15-06-18,118,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens),4.58725328303587,4.138531363741653
0-20 cm,56702146,5.0,5.37,5.44,53.7,,-1.0,1.8,104.0,,,,,EL,EL5,EL51,EL511,41.1122436,26.12992704,04-09-18,368,C32,U120,Woodland,Pine dominated mixed woodland,Forestry,2.82428857493664,3.2476078793881715
0-20 cm,54662028,4.7,5.43,3.98,13.1,,-1.0,1.0,91.8,,,,,EL,EL5,EL52,EL527,40.42721629,23.50769361,23-07-18,884,C10,U120,Woodland,Broadleaved woodland,Forestry,3.34948240112963,3.3992741001891114
0-20 cm,52601984,4.9,5.46,10.49,27.8,,17.9,1.6,108.1,,,,,EL,EL5,EL53,EL532,40.33556297,21.0395725,23-09-18,1470,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,3.70518579481254,3.7584630411194255
0-20 cm,52561940,5.7,6.12,8.09,45.1,2.0,-1.0,2.1,153.3,,,,,EL,EL5,EL54,EL543,39.94718008,20.92531755,24-09-18,1332,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry,3.51017772068142,3.7547761911502797
0-20 cm,54581828,7.8,8.39,16.96,14.4,200.0,-1.0,1.1,286.0,,,,,EL,EL6,EL64,EL644,38.65922304,23.04925739,05-09-18,54,B23,U111,Cropland,Other root crops,Agriculture (excluding fallow land and kitchen gardens),3.34529545596593,3.5065733628478704
0-20 cm,53561644,6.3,6.87,11.75,20.6,,49.7,2.2,385.6,,,,,EL,EL6,EL65,EL653,37.16224415,21.60785898,24-09-18,114,B81,U111,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens),4.27014745230704,4.119005425919891
0-20 cm,54401670,6.0,6.24,5.98,19.0,1.0,34.0,1.6,62.0,,,,,EL,EL6,EL65,EL653,37.27522077,22.57974342,08-07-18,1256,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry,3.38871218236544,3.5944177060745446
0-20 cm,28002400,5.2,5.76,17.13,53.7,1.0,130.2,4.9,82.1,,,,,ES,ES1,ES11,ES111,42.97971315,-8.815422826,25-06-18,380,B55,U111,Cropland,Temporary grassland,Agriculture (excluding fallow land and kitchen gardens),4.30725671973007,4.151552790214102
0-20 cm,28222378,4.5,5.24,7.59,134.3,1.0,-1.0,9.7,72.0,,,,,ES,ES1,ES11,ES111,42.83697702,-8.490892704,09-07-18,340,C10,U120,Woodland,Broadleaved woodland,Forestry,4.26974136178976,3.915823347882599
0-20 cm,28402378,5.1,5.64,11.48,101.1,1.0,-1.0,7.5,53.1,,,,,ES,ES1,ES11,ES111,42.87645195,-8.276175142,26-08-18,310,C33,U420,Woodland,Other mixed woodland,Semi-natural and natural areas not in use,3.29654442788014,3.41393024451801
0-20 cm,28742296,3.5,4.12,6.78,44.2,,-1.0,2.2,62.8,,,,,ES,ES1,ES11,ES113,42.23262181,-7.651527299,14-06-18,608,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry,2.79374478233554,3.304330195500687
0-20 cm,29002406,3.7,4.1,44.0,155.9,,22.8,10.9,252.7,,,,,ES,ES1,ES11,ES112,43.24964473,-7.633657985,06-08-18,568,C10,U120,Woodland,Broadleaved woodland,Forestry,3.05596421347807,3.0381492757128745
0-20 cm,30002386,6.8,7.26,29.8,73.1,310.0,-1.0,4.1,89.5,,,,,ES,ES1,ES12,ES120,43.27762902,-6.376825822,21-05-18,443,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),2.753574545367,3.0883664433199955
0-20 cm,32402336,4.2,4.47,38.5,40.6,,107.6,4.1,269.2,,,,,ES,ES2,ES21,ES213,43.26335656,-3.357599234,03-06-18,459,C10,U111,Woodland,Broadleaved woodland,Agriculture (excluding fallow land and kitchen gardens),2.87122947787043,3.030688525338158
0-20 cm,32902338,3.9,4.33,9.76,70.9,2.0,-1.0,4.2,68.7,,,,,ES,ES2,ES21,ES213,43.35928614,-2.753879952,07-08-18,480,C32,U120,Woodland,Pine dominated mixed woodland,Forestry,3.39860768713996,3.40544101683403
0-20 cm,33622266,6.5,7.08,9.98,13.7,1.0,24.2,1.8,236.6,,,2.1,3.7,ES,ES2,ES22,ES220,42.82474353,-1.746282738,22-07-18,467,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens),4.30763405825761,4.247758232890217
0-20 cm,33782062,7.2,7.6,13.98,12.9,7.0,13.8,1.5,232.9,,,0.8,1.6,ES,ES2,ES24,ES242,41.02737139,-1.210055627,25-06-18,1133,B14,U111,Cropland,Rye,Agriculture (excluding fallow land and kitchen gardens),4.21715374814347,4.206061248458946
0-20 cm,34382156,7.6,8.19,23.5,14.1,308.0,-1.0,1.7,270.9,,,,,ES,ES2,ES24,ES241,41.94533825,-0.649697887,03-06-18,453,E30,U112,Grassland,Spontaneously re-vegetated surfaces,Fallow land,3.76257754415433,3.5848977272075
0-10 cm,33502280,5.2,5.74,11.92,82.8,5.0,-1.0,5.0,290.5,,,,,ES,ES2,ES22,ES220,42.93237671,-1.916487638,22-07-18,612,C10,U120,Woodland,Broadleaved woodland,Forestry,3.06524521209854,3.1648933456014143
0-10 cm,34041890,7.7,8.11,21.9,21.9,485.0,20.7,2.1,450.6,,,,,ES,ES5,ES52,ES523,39.52255302,-0.643024526,19-04-18,256,B77,U111,Cropland,Other citrus fruit,Agriculture (excluding fallow land and kitchen gardens),3.42234465966253,3.690048360741752
0-20 cm,29422254,3.9,4.53,8.59,78.3,,-1.0,4.6,63.0,,,,,ES,ES4,ES41,ES419,42.00367699,-6.740804055,03-07-18,1328,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry,4.05825286793337,3.9231581443807606
0-20 cm,29602142,4.5,5.19,5.15,6.1,,16.3,0.7,72.6,,,,,ES,ES4,ES41,ES415,41.05389506,-6.260458046,21-05-18,858,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),3.95448878811957,4.175318155570828
0-20 cm,30302240,5.4,6.13,5.92,5.3,,10.6,0.8,69.3,,,0.5,0.8,ES,ES4,ES41,ES419,42.05045074,-5.666318532,25-06-18,813,B54,U111,Cropland,Mix of cereals,Agriculture (excluding fallow land and kitchen gardens),3.35493089089519,3.715788669391052
0-20 cm,30502272,7.4,7.91,19.53,9.6,8.0,63.8,1.2,170.1,,,,,ES,ES4,ES41,ES413,42.3697196,-5.502804551,31-07-18,836,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens),4.70112412803681,4.555901328671278
0-20 cm,30662118,6.6,7.16,7.19,5.7,1.0,19.3,0.7,217.0,,,,,ES,ES4,ES41,ES411,41.03893819,-4.97042043,16-07-18,858,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens),4.23582322857853,4.398024584038599
0-20 cm,30682088,5.0,5.75,9.36,4.4,1.0,-1.0,0.5,71.9,,,0.5,0.4,ES,ES4,ES41,ES411,40.77708962,-4.882945248,23-07-18,990,B14,U111,Cropland,Rye,Agriculture (excluding fallow land and kitchen gardens),3.79139739617938,3.903801068147441
0-20 cm,30802294,6.3,6.57,6.04,24.8,2.0,-1.0,1.7,89.5,,,,,ES,ES4,ES41,ES413,42.61871391,-5.19517191,31-07-18,966,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry,3.73414574785305,3.7678978966485395
0-20 cm,31682218,7.7,8.2,16.57,11.8,189.0,13.9,1.2,410.4,,,,,ES,ES4,ES41,ES412,42.10005831,-3.979748478,30-07-18,853,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens),3.16100340425865,3.2557313345328636
0-20 cm,31722110,5.7,6.03,9.66,48.9,,15.5,4.3,238.2,,,,,ES,ES4,ES41,ES416,41.14901511,-3.713822764,21-08-18,1168,C10,U111,Woodland,Broadleaved woodland,Agriculture (excluding fallow land and kitchen gardens),3.78371435667492,3.6838730898024203
0-20 cm,30561996,6.5,7.04,8.32,10.8,1.0,18.8,1.2,192.8,,,,,ES,ES4,ES42,ES425,39.9413009,-4.828677771,30-07-18,419,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens),4.84821861983982,4.598892481420358
0-20 cm,31601976,7.4,8.33,14.71,10.1,268.0,-1.0,0.8,168.7,,,0.6,0.2,ES,ES4,ES42,ES425,39.93921503,-3.593470903,06-08-18,765,B81,U111,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens),4.3908827677119,4.102492107100969
0-20 cm,31681918,7.5,8.1,18.67,9.9,546.0,29.5,1.1,273.0,,,,,ES,ES4,ES42,ES425,39.43604671,-3.393221314,27-08-18,709,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens),4.07156495055312,4.038239680763383
0-20 cm,32522074,7.6,7.94,11.32,23.7,187.0,-1.0,2.1,444.2,,,,,ES,ES4,ES42,ES424,40.95488283,-2.70821843,14-08-18,1108,C10,U420,Woodland,Broadleaved woodland,Semi-natural and natural areas not in use,3.41434492972305,3.3161480858683388
0-20 cm,35582196,7.1,7.62,18.18,72.3,148.0,-1.0,4.6,253.5,,,,,ES,ES5,ES51,ES513,42.44605515,0.729634114,15-07-18,1338,C32,U420,Woodland,Pine dominated mixed woodland,Semi-natural and natural areas not in use,1.93998469837314,2.420679633038536
0-20 cm,28721676,7.5,7.98,17.95,13.4,347.0,-1.0,1.6,561.6,,,0.8,0.9,ES,ES6,ES61,ES612,36.76826601,-6.226268618,18-07-18,75,B31,U111,Cropland,Sunflower,Agriculture (excluding fallow land and kitchen gardens),4.08251320051621,3.7085152699816293
0-20 cm,28801616,7.6,8.1,18.29,10.9,296.0,-1.0,1.2,580.2,,,0.6,1.2,ES,ES6,ES61,ES612,36.25135201,-6.015987689,01-08-18,90,B12,U111,Cropland,Durum wheat,Agriculture (excluding fallow land and kitchen gardens),3.94581122735,3.8554676159310364
0-20 cm,29901692,7.7,8.21,18.28,9.5,534.0,25.1,1.0,195.1,,,0.7,0.4,ES,ES6,ES61,ES618,37.1270662,-4.96256813,25-06-18,493,B81,U111,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens),3.03693791812257,3.306140795003788
0-20 cm,30721756,7.6,8.28,15.23,9.2,209.0,-1.0,1.0,458.8,,,,,ES,ES6,ES61,ES616,37.83739715,-4.175512347,06-08-18,351,B81,U111,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens),2.75307307819644,3.216333130713068
0-20 cm,30881760,7.7,8.17,20.1,55.5,202.0,-1.0,0.8,338.7,,,,,ES,ES6,ES61,ES616,37.89963949,-4.004503883,06-08-18,386,B81,U111,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens),3.98589493698581,3.7428001447816275
0-20 cm,31141720,7.0,7.21,17.88,34.2,81.0,-1.0,2.6,520.7,,,,,ES,ES6,ES61,ES616,37.58562888,-3.642179272,06-08-18,1399,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry,2.58421631700906,2.8318138407545983
0-20 cm,31141750,7.7,7.89,123.4,13.9,391.0,17.4,1.3,513.6,,,,,ES,ES6,ES61,ES616,37.85308975,-3.696095171,06-08-18,510,B81,U111,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens),3.88555424362829,3.782578450316314
0-20 cm,31141756,7.6,8.19,14.26,9.8,110.0,-1.0,1.0,717.7,,,,,ES,ES6,ES61,ES616,37.90656522,-3.706950383,29-05-18,378,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens),3.62784402429511,3.759718154747034
0-20 cm,31441666,6.1,6.25,62.1,28.3,1.0,12.0,1.8,70.2,,,,,ES,ES6,ES61,ES614,37.15119534,-3.215144248,06-08-18,1863,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry,4.08196098835913,4.070040340193642
0-20 cm,32361730,7.4,8.02,16.93,13.3,278.0,-1.0,1.6,242.9,,,,,ES,ES6,ES61,ES611,37.86188429,-2.298966599,30-05-18,1126,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),4.45643308430761,4.202110753095038
0-20 cm,49604542,2.9,3.81,9.94,476.4,,33.1,11.2,248.3,,,,,FI,FI1,FI19,FI195,63.45337932,22.8272633,05-06-18,36,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry,2.53762207828912,2.7782647389118282
0-20 cm,49624302,5.3,5.74,29.9,179.1,1.0,39.1,11.7,209.9,,,,,FI,FI1,FI19,FI196,61.32712617,21.99628073,23-07-18,19,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens),4.20491490279438,4.065259533455405
0-20 cm,49704436,3.8,4.32,5.84,73.9,,19.3,2.2,73.5,,,,,FI,FI1,FI19,FI194,62.50006088,22.61731257,07-06-18,134,C23,U120,Woodland,Other coniferous woodland,Forestry,3.11137383431424,3.3123645092213554
0-20 cm,49724396,3.7,4.43,2.17,13.4,,14.2,0.6,11.7,,,,,FI,FI1,FI19,FI196,62.14319772,22.50901358,08-06-18,163,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry,2.7682730428684,2.8438480041782013
0-20 cm,50004308,4.7,5.36,7.34,36.0,1.0,36.8,2.9,245.1,,,,,FI,FI1,FI19,FI197,61.32057821,22.71377312,23-07-18,87,C10,U120,Woodland,Broadleaved woodland,Forestry,3.14755972804402,3.4294186782663667
0-20 cm,50424512,3.7,4.4,5.36,47.8,,-1.0,1.8,67.5,,,,,FI,FI1,FI19,FI193,63.04669296,24.29892042,18-07-18,200,C32,U120,Woodland,Pine dominated mixed woodland,Forestry,2.94802970981639,3.0898459331243315
0-20 cm,49864226,5.0,5.57,10.91,80.0,,59.6,6.2,191.6,,,,,FI,FI1,FI1C,FI1C1,60.61783828,22.17906575,20-06-18,30,B15,U111,Cropland,Oats,Agriculture (excluding fallow land and kitchen gardens),3.51779829290075,3.5858341239912295
0-20 cm,51364282,3.5,4.09,9.44,35.3,,32.5,1.7,54.2,,,,,FI,FI1,FI1C,FI1C2,60.85226884,25.08018784,24-06-18,91,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry,3.90814551870852,3.8049298244465524
0-20 cm,51544350,3.3,3.9,18.64,201.6,1.0,43.5,12.3,140.0,,,,,FI,FI1,FI1C,FI1C3,61.41243071,25.69478312,27-06-18,101,C31,U420,Woodland,Spruce dominated mixed woodland,Semi-natural and natural areas not in use,4.09809919929182,3.759629517107924
0-20 cm,52584292,3.5,4.04,11.0,184.2,,50.1,8.4,110.7,,,,,FI,FI1,FI1C,FI1C4,60.69000693,27.30100113,27-06-18,54,C23,U120,Woodland,Other coniferous woodland,Forestry,2.18544783202116,2.5937435777662037
0-20 cm,49764590,3.8,4.26,19.35,89.0,,72.6,6.2,97.9,,,,,FI,FI1,FI1D,FI1D5,63.85059045,23.33622052,05-06-18,16,B55,U111,Cropland,Temporary grassland,Agriculture (excluding fallow land and kitchen gardens),3.15004364837858,3.3992598383497854
0-20 cm,50324560,2.9,3.84,9.5,513.6,1.0,65.4,17.0,154.5,,,,,FI,FI1,FI1D,FI1D5,63.48714312,24.31229279,18-07-18,128,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry,2.77833238341649,3.0689972945932
0-20 cm,50424986,4.1,4.71,2.49,17.2,,26.3,0.8,25.1,,,,,FI,FI1,FI1D,FI1D7,67.20265001,26.70986602,02-09-18,263,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry,4.00348771209898,3.9622853962872306
0-20 cm,50584702,4.0,4.5,16.3,45.1,,46.3,2.9,120.5,,,1.0,2.7,FI,FI1,FI1D,FI1D9,64.68437834,25.49299343,15-08-18,40,B15,U111,Cropland,Oats,Agriculture (excluding fallow land and kitchen gardens),3.56067509006686,3.6662427238116075
0-20 cm,50604656,3.8,4.53,10.54,251.1,,58.4,12.9,92.8,,,,,FI,FI1,FI1D,FI1D9,64.27719769,25.30774837,16-09-18,138,C10,U120,Woodland,Broadleaved woodland,Forestry,3.40414736610971,3.41481204861912
0-20 cm,50904750,3.8,4.26,2.81,19.8,,-1.0,0.8,27.2,,,,,FI,FI1,FI1D,FI1D9,65.0388632,26.39396182,27-08-18,88,C23,U120,Woodland,Other coniferous woodland,Forestry,3.70569154298719,3.656849017141745
0-20 cm,51124738,3.6,4.51,15.58,526.0,,32.5,25.3,116.1,,,,,FI,FI1,FI1D,FI1D9,64.88731569,26.77897423,20-08-18,10136,C32,U120,Woodland,Pine dominated mixed woodland,Forestry,3.87700095759826,3.7015244567161187
0-20 cm,51464746,3.4,4.28,2.62,22.2,,-1.0,0.7,25.9,,,,,FI,FI1,FI1D,FI1D8,64.88221485,27.51508509,20-08-18,180,C32,U120,Woodland,Pine dominated mixed woodland,Forestry,4.29335968547426,3.959140117771612
0-20 cm,51464814,3.9,4.71,4.42,40.5,,30.8,2.2,43.5,,,,,FI,FI1,FI1D,FI1D9,65.47282706,27.90997649,13-08-18,179,C33,U120,Woodland,Other mixed woodland,Forestry,3.70568236312498,3.795037944278941
0-20 cm,51664756,4.1,4.6,3.37,69.6,,-1.0,2.3,32.7,,,,,FI,FI1,FI1D,FI1D8,64.92356232,27.97880323,20-08-18,235,C32,U120,Woodland,Pine dominated mixed woodland,Forestry,3.06506994830448,3.427276536945056
0-20 cm,52084354,4.4,5.02,5.55,31.3,1.0,23.8,1.7,56.3,,,,,FI,FI1,FI1D,FI1D1,61.33662904,26.69409124,27-06-18,92,C10,U120,Woodland,Broadleaved woodland,Forestry,4.65880261468739,4.208493522304836
0-20 cm,52584544,4.1,4.86,2.45,15.0,,16.3,0.6,22.8,,,,,FI,FI1,FI1D,FI1D2,62.87357638,28.58071949,10-07-18,134,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry,2.13573137231427,2.3316595650751384
0-20 cm,52664748,4.0,4.74,8.55,81.1,,45.6,3.6,97.2,,,2.8,0.5,FI,FI1,FI1D,FI1D8,64.61196814,29.94232188,30-05-18,278,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry,3.95139441960608,3.8019115257715828
0-20 cm,52844586,4.3,4.88,6.89,70.4,,17.2,3.5,62.5,,,,,FI,FI1,FI1D,FI1D3,63.17338065,29.31068925,30-06-18,10176,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,2.76835097829867,3.3761305902465044
