Depth,POINTID,pH_CaCl2,pH_H2O,EC,OC,CaCO3,P,N,K,OC (20-30 cm),CaCO3 (20-30 cm),Ox_Al,Ox_Fe,NUTS_0,NUTS_1,NUTS_2,NUTS_3,TH_LAT,TH_LONG,SURVEY_DATE,Elev,LC,LU,LC0_Desc,LC1_Desc,LU1_Desc
0-20 cm,47362862,5.5,6.12,12.91,17.9,1,16.2,2,82.6,,,0.6,1.6,AT,AT1,AT12,AT124,48.72821368,15.64534213,20-06-18,521,B18,U111,Cropland,Triticale,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47402780,5,5.36,39.7,41.7,NA,< LOD,4.3,235.8,,,,,AT,AT1,AT12,AT122,47.9901826,15.61683824,29-05-18,694,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47422872,4.1,4.76,14.68,55.7,NA,29.7,3.3,107.2,,,,,AT,AT1,AT12,AT124,48.81369528,15.73701883,26-06-18,489,E30,U120,Grassland,Spontaneously re-vegetated surfaces,Forestry
0-20 cm,47462794,4.2,5.06,5.15,24.1,2,< LOD,1.6,109.5,,,,,AT,AT1,AT12,AT123,48.11159718,15.71109418,05-07-18,447,C10,U120,Woodland,Broadleaved woodland,Forestry
0-20 cm,47462830,7.6,8.19,21.3,17,26,40.9,1.7,437.9,,,,,AT,AT1,AT12,AT124,48.43438076,15.74777325,24-05-18,192,B12,U111,Cropland,Durum wheat,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47482810,7.3,7.85,27.9,16.5,48,104.4,1.7,477.1,,,0.8,0.8,AT,AT1,AT12,AT123,48.25366633,15.75417784,24-05-18,221,B16,U111,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47482864,6.5,6.93,21.9,54.7,4,11,3.2,222.9,,,,,AT,AT1,AT12,AT125,48.73776101,15.81008072,25-06-18,10444,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry
0-20 cm,47502772,6.1,6.34,145.6,418.5,3,54.9,21.2,442.9,,,,,AT,AT1,AT12,AT122,47.91152793,15.74232302,24-07-18,10869,C32,U120,Woodland,Pine dominated mixed woodland,Forestry
0-20 cm,47522746,4.2,4.97,7.6,29.1,1,16.4,2.8,77.8,,,,,AT,AT1,AT12,AT122,47.67695905,15.74276958,23-07-18,794,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry
0-20 cm,47522800,4.7,5.46,7.48,20.4,3,< LOD,1.9,90.5,,,,,AT,AT1,AT12,AT123,48.16119375,15.7975866,05-07-18,331,C10,U420,Woodland,Broadleaved woodland,Semi-natural and natural areas not in use
0-20 cm,47522858,7.1,8,20.82,18.1,81,36.1,1.8,498.6,,,0.7,0.8,AT,AT1,AT12,AT124,48.68113594,15.8579662,12-06-18,351,B82,U111,Cropland,Vineyards,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47522872,5.6,6.31,9.09,12.4,NA,33.9,1.5,215.6,,,,,AT,AT1,AT12,AT125,48.80661512,15.87278002,25-06-18,10470,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47582744,6.8,7.1,86.3,219.3,148,22.2,10.4,165.6,,,,,AT,AT1,AT12,AT122,47.65480589,15.82039312,23-07-18,782,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry
0-20 cm,47602836,7,7.42,19.11,34.4,292,< LOD,3.1,147.3,,,,,AT,AT1,AT12,AT126,48.47819549,15.94276715,19-06-18,321,C10,U111,Woodland,Broadleaved woodland,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47622754,3.9,4.79,21.5,481,NA,60.4,18.9,328,,,,,AT,AT1,AT12,AT122,47.7416345,15.88374465,21-06-18,1150,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry
0-20 cm,47642808,5.9,6.35,23.66,23.4,NA,40.8,2.7,202.5,,,,,AT,AT1,AT12,AT123,48.22431962,15.96685106,27-05-18,253,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47642862,7.5,8.15,22.6,22,39,10.6,2.1,526.7,,,,,AT,AT1,AT12,AT125,48.70829192,16.02476493,23-05-18,254,B82,U111,Cropland,Vineyards,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47662810,7.2,8.02,17.76,18.7,22,20.6,2.1,256.6,,,,,AT,AT1,AT12,AT126,48.24079034,15.99581379,27-05-18,226,B55,U111,Cropland,Temporary grassland,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47662860,7.5,8.19,14.88,18.7,11,21.4,1.8,414.1,,,,,AT,AT1,AT12,AT125,48.68889773,16.04967587,23-05-18,248,B82,U111,Cropland,Vineyards,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47682754,4.7,5.31,26.5,419.9,3,59,17.4,244.4,,,,,AT,AT1,AT12,AT122,47.73731361,15.96349091,03-07-18,10592,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry
0-20 cm,47702818,7.3,7.8,25.91,15.5,5,16.7,2,232.9,,,,,AT,AT1,AT12,AT126,48.30955796,16.0581072,24-05-18,178,B16,U111,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47722780,6.4,6.66,88.1,265.8,56,< LOD,11.8,121.7,,,,,AT,AT1,AT12,AT122,47.96748332,16.04417339,17-05-18,507,C32,U120,Woodland,Pine dominated mixed woodland,Forestry
0-20 cm,47722816,7.3,8.04,22.03,19.2,117,< LOD,1.6,193.7,,,,,AT,AT1,AT12,AT126,48.29015496,16.08281825,24-05-18,180,B55,U111,Cropland,Temporary grassland,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47742758,7,7.33,60.9,63.8,127,16.1,6.4,376.2,,,,,AT,AT1,AT12,AT122,47.7687947,16.04745715,17-05-18,436,E10,U111,Grassland,Grassland with sparse tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47742848,7.2,7.66,16.42,18.4,130,< LOD,1.6,276.2,,,,,AT,AT1,AT12,AT125,48.57542474,16.14471725,04-07-18,287,C32,U120,Woodland,Pine dominated mixed woodland,Forestry
0-20 cm,47762734,6.8,7.23,77.56,72.1,123,35.2,6.1,88.5,,,,,AT,AT1,AT12,AT122,47.5521552,16.04865989,25-07-18,586,D10,U420,Shrubland,Shrubland with sparse tree cover,Semi-natural and natural areas not in use
0-20 cm,47782854,7.3,7.71,31.59,21.7,19,21.5,2.4,636.4,,,,,AT,AT1,AT12,AT125,48.62617322,16.20543133,20-06-18,236,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47802732,5.1,5.45,38.7,34.9,NA,42.5,3.7,110,,,,,AT,AT1,AT12,AT122,47.53127198,16.09950134,19-06-18,700,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47802746,4.2,4.74,22,75.4,5,32.3,5.3,201.2,,,,,AT,AT1,AT12,AT122,47.65678235,16.1143944,16-07-18,480,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry
0-20 cm,47802840,7.3,8.1,24.71,18.3,143,17.5,1.8,302.2,,,,,AT,AT1,AT12,AT126,48.4992256,16.21684089,28-05-18,260,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47822764,7.3,7.58,43.4,46.2,136,61.6,4.2,650.9,,,,,AT,AT1,AT12,AT122,47.81664234,16.16029648,17-05-18,263,B16,U111,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47822830,7.5,8.24,12.48,19.3,39,19.1,1.8,243.9,,,,,AT,AT1,AT12,AT126,48.40811053,16.23266131,23-05-18,217,A30,U319,Artificial land,Other artificial areas,"Electricity, gas and thermal power distribution"
0-20 cm,47822862,7.2,8.06,13.62,19.5,9,11.5,2.1,384.4,,,1,1,AT,AT1,AT12,AT125,48.69480289,16.26852997,20-06-18,190,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47862838,7.3,8,28.43,12.6,26,< LOD,1.8,369.3,,,,,AT,AT1,AT12,AT126,48.47673358,16.29550339,28-05-18,240,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47882830,4.3,5.08,4.99,15.4,1,< LOD,1.5,61.9,,,,,AT,AT1,AT12,AT126,48.40352598,16.31343033,14-06-18,331,C10,U120,Woodland,Broadleaved woodland,Forestry
0-20 cm,47882836,7.5,8.19,22.08,14.5,34,14.1,1.7,255.7,,,,,AT,AT1,AT12,AT126,48.45727905,16.32020173,28-05-18,281,B23,U111,Cropland,Other root crops,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47942726,5.3,5.77,48.37,49.5,NA,42.4,5.6,221.3,,,,,AT,AT1,AT12,AT122,47.46695942,16.27822053,16-07-18,547,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47942784,7.6,8.28,17.83,37.7,241,< LOD,2.1,465.1,,,0.6,0.3,AT,AT1,AT12,AT127,47.98675742,16.34222748,20-08-18,203,B41,U111,Cropland,Dry pulses,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47942860,7.3,7.77,22.3,16.6,2,10.5,1.9,279,,,,,AT,AT1,AT12,AT125,48.66760092,16.42865737,19-05-18,220,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47942870,7.2,7.55,20.8,11.4,2,16.9,1.3,139.3,,,0.9,1.4,AT,AT1,AT12,AT125,48.75716362,16.44025251,19-05-18,179,B22,U111,Cropland,Sugar beet,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47982796,7.3,7.87,26,28.4,77,31.4,2.4,642,,,,,AT,AT1,AT12,AT127,48.09117243,16.40918794,17-05-18,177,B31,U111,Cropland,Sunflower,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47982822,6.8,7.36,15.02,14.5,1,33.7,1.7,285.3,,,,,AT,AT1,AT12,AT126,48.3240934,16.43882591,14-06-18,188,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47982846,7.3,7.81,35,23.4,47,12.7,2.6,654.1,,,,,AT,AT1,AT12,AT125,48.5390661,16.46649408,19-05-18,222,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47982850,7.3,8,43.42,16.3,80,40.9,1.8,430.3,,,,,AT,AT1,AT12,AT125,48.57489201,16.47113472,20-06-18,290,B12,U111,Cropland,Durum wheat,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,48002836,7.5,8.19,16.43,19.8,156,11.2,1.5,147.3,,,,,AT,AT1,AT12,AT126,48.44792185,16.4818701,14-06-18,248,B55,U111,Cropland,Temporary grassland,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,48002872,6.6,6.97,30.5,22.1,NA,14.3,2.2,542.3,,,,,AT,AT1,AT12,AT125,48.77033238,16.52392271,19-05-18,215,B31,U111,Cropland,Sunflower,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,48082834,4.2,4.82,8.36,26.6,NA,14.5,2.1,93.9,,,,,AT,AT1,AT12,AT126,48.42364179,16.58726406,21-05-18,0,C10,U120,Woodland,Broadleaved woodland,Forestry
0-20 cm,48082844,7.2,7.83,33.27,14,7,13.8,1.7,235,,,0.7,0.7,AT,AT1,AT12,AT125,48.51319481,16.59905631,15-06-18,279,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,48122780,7.4,8.03,14.67,31.6,105,10.5,2.3,291.4,,,0.7,0.6,AT,AT1,AT12,AT127,47.93677674,16.57783537,14-05-18,228,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,48122798,7.3,8.03,24.12,20.8,94,23.2,1.9,362.1,,,,,AT,AT1,AT12,AT127,48.09800842,16.59875656,10-06-18,200,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,48162858,7.3,7.89,17.07,13.7,11,17.1,1.3,299.7,,,0.7,0.6,AT,AT1,AT12,AT125,48.63205722,16.72379813,19-05-18,175,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,48182826,7.4,8.28,20.82,14.7,200,10.3,1.4,180.2,,,0.5,0.4,AT,AT1,AT12,AT126,48.34390372,16.7122817,16-06-18,163,B22,U111,Cropland,Sugar beet,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,48182862,7.2,7.84,49.13,23.2,15,22.2,2.5,568.3,,,0.8,0.7,AT,AT1,AT12,AT125,48.66622515,16.75568769,16-06-18,190,B16,U111,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,48202842,7.4,8.21,24.47,14.6,104,< LOD,1.2,153,,,,,AT,AT1,AT12,AT125,48.48552277,16.7584397,16-06-18,203,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,48222820,6.9,7.23,27.6,25.3,12,15.9,2.1,79.3,,,,,AT,AT1,AT12,AT126,48.28689838,16.75881338,21-05-18,156,C10,U120,Woodland,Broadleaved woodland,Forestry
0-20 cm,48242800,7.5,8.2,17.68,19.2,36,< LOD,1.9,199.5,,,,,AT,AT1,AT12,AT127,48.10616571,16.76163138,14-05-18,191,B33,U111,Cropland,Soya,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,48262816,7.5,8.1,16.24,15.9,53,16.6,1.6,161.7,,,0.8,0.8,AT,AT1,AT12,AT126,48.24778026,16.80766285,12-06-18,158,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,48282804,7.3,7.6,30.8,54.4,144,< LOD,4.1,118.9,,,,,AT,AT1,AT12,AT126,48.1386775,16.81995786,10-06-18,144,C10,U420,Woodland,Broadleaved woodland,Semi-natural and natural areas not in use
0-20 cm,48282866,7.1,8,28.63,18.8,45,27.2,2.1,563.9,,,,,AT,AT1,AT12,AT125,48.69371115,16.89588,21-06-18,160,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,45362624,4.7,5.09,48.4,78.3,1,36.8,6.4,253.7,,,,,AT,AT2,AT21,AT212,46.69278579,12.80882935,11-06-18,1019,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry
0-20 cm,45382662,5.9,6.52,5.45,12.3,1,< LOD,0.9,< LOD,,,,,AT,AT2,AT21,AT212,47.03394887,12.85336413,26-07-18,1266,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry
0-20 cm,45402624,4.8,5.14,46.6,52.3,1,25,3.5,121.7,,,,,AT,AT2,AT21,AT212,46.69141074,12.86104179,11-06-18,1198,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry
0-20 cm,45482622,5.2,5.61,26.7,50.2,NA,11.2,3.5,89.5,,,,,AT,AT2,AT21,AT212,46.67059222,12.96445362,15-06-18,771,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry
0-20 cm,45542620,4.7,5.16,41.06,58.1,NA,18,6.4,108.6,,,,,AT,AT2,AT21,AT212,46.65041528,13.04170233,11-06-18,686,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,45642652,7.1,7.8,29.55,40.3,74,< LOD,1.3,49.2,,,,,AT,AT2,AT21,AT212,46.93447096,13.1894286,07-06-18,684,A21,U330,Artificial land,Non built-up area features,Construction
0-20 cm,45642656,4.5,5.21,10.62,61.1,3,11.7,4.6,53.1,,,,,AT,AT2,AT21,AT212,46.97044528,13.19161038,07-06-18,1150,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry
